Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	130	the▁	6537850	3633	4566	0.880188	0.773963	0.823665
2	133	,▁	5389678	3176	3044	0.760118	0.826418	0.791882
3	137	.▁	4597090	2871	3090	0.99419	0.963828	0.978774
4	146	of▁	3435917	1646	1756	0.75086	0.702851	0.726063
5	147	and▁	3151898	1327	1365	0.932867	0.902173	0.917264
6	148	to▁	2935221	1628	1472	0.722277	0.805262	0.761515
7	151	a▁	2435935	1558	1569	0.833304	0.831702	0.832502
8	5	▁	2414469	1420	1361	0.75327	0.789787	0.771097
9	156	in▁	2172765	1352	1321	0.760936	0.787956	0.77421
10	155	is▁	1576463	768	801	0.695864	0.673233	0.684361
11	123	s▁	1506075	1382	1015	0.560986	0.772653	0.650022
12	185	that▁	1188356	632	681	0.614137	0.579418	0.596273
13	145	on▁	1187385	690	649	0.665557	0.714646	0.689229
14	150	ed▁	1117257	925	893	0.651035	0.678644	0.664553
15	11	n	1112808	816	710	0.646462	0.741488	0.690722
16	191	for▁	1107966	587	492	0.634962	0.765376	0.694096
17	126	t▁	959147	841	671	0.554178	0.690254	0.614777
18	122	e▁	944268	670	637	0.670006	0.711091	0.689937
19	10	i	834131	493	486	0.742494	0.749415	0.745938
20	153	ing▁	805495	510	345	0.403663	0.598071	0.482002
21	154	es▁	779900	472	491	0.654247	0.626536	0.640092
22	219	with▁	760182	405	405	0.711957	0.706199	0.709066
23	208	are▁	753987	380	383	0.631514	0.62119	0.62631
24	223	The▁	731697	577	597	0.804196	0.778721	0.791253
25	224	be▁	727024	338	293	0.59418	0.692497	0.639582
26	36	-	708146	524	360	0.473074	0.688947	0.560959
27	175	as▁	701273	370	320	0.644271	0.737202	0.687611
28	6	e	691243	545	522	0.740104	0.771423	0.755439
29	13	s	660844	619	547	0.6842	0.790205	0.733392
30	132	y▁	660428	480	437	0.692684	0.758162	0.723945
31	234	I▁	648922	211	211	0.96978	0.973757	0.971764
32	172	an▁	647251	444	455	0.750212	0.733165	0.741591
33	33	S	640469	389	394	0.85879	0.853026	0.855898
34	227	it▁	626948	430	375	0.617672	0.713467	0.662122
35	17	c	613421	487	448	0.692769	0.769165	0.728971
36	241	this▁	605158	208	230	0.667504	0.595556	0.629481
37	32	C	577428	291	314	0.9	0.839976	0.868953
38	251	by▁	545569	270	283	0.724409	0.698842	0.711396
