#### Side:src ###
Experiment	n_seqs:	total_toks:	mean_len:	median_len:	max_len:	EMD:	n:	zero_types:	effective_n:	0%:	1%:	5%:	10%:	25%:	50%:	75%:	90%:	95%:	98%:	99%:	100%:
runs-deen-001m/000-deen-chars-r1	1,000,000	154,755,230	154.7552	136.0000	513	0.7329	130	3	127	23191806	20002691	7273964	3522916	521762	67828	4386	2264	1984	1475	1437	1418
runs-deen-001m/011-deen-.5k.5k-r1	1,000,000	69,246,362	69.2464	61.0000	513	0.4129	500	7	493	1935838	1053185	526854	317117	152351	78046	45234	14882	3340	2040	1590	1408
runs-deen-001m/022-deen-01k01k-r1	1,000,000	57,902,149	57.9021	51.0000	513	0.4412	1,000	20	980	1438273	542568	204834	123498	58214	29961	17946	10246	3311	2004	1476	48
runs-deen-001m/033-deen-02k02k-r1	1,000,000	49,367,527	49.3675	43.0000	513	0.4740	2,000	24	1,976	1438411	209336	84524	48705	21620	10838	6872	4484	2310	806	281	1
runs-deen-001m/044-deen-04k04k-r1	1,000,000	42,357,116	42.3571	37.0000	513	0.5064	4,000	41	3,959	1438505	109270	31208	18368	8050	4323	2716	1697	747	262	69	1
runs-deen-001m/055-deen-08k08k-r1	1,000,000	36,756,476	36.7565	32.0000	513	0.5393	8,000	52	7,948	1438586	42183	11785	6852	3143	1679	1053	645	279	75	24	1
runs-deen-001m/066-deen-16k16k-r1	1,000,000	32,735,911	32.7359	29.0000	513	0.5834	16,000	98	15,902	1438669	16790	4656	2704	1243	633	378	235	102	27	8	1
runs-deen-001m/077-deen-32k32k-r1	1,000,000	30,040,990	30.0410	26.0000	513	0.6417	32,000	305	31,695	1438736	7571	2018	1119	477	223	130	88	39	10	4	1
runs-deen-001m/088-deen-48k48k-r1	1,000,000	28,931,232	28.9312	25.0000	513	0.6794	48,000	612	47,388	1438770	4889	1235	666	263	119	68	49	23	6	3	1
runs-deen-001m/099-deen-64k64k-r1	1,000,000	28,296,139	28.2961	25.0000	513	0.7059	64,000	972	63,028	1438791	3668	873	456	172	76	43	32	15	5	2	1

runs-deen-030k/000-deen-chars-r1	30,000	4,882,920	162.7640	145.0000	513	0.7428	132	3	129	726030	635772	237123	112286	13772	1472	68	22	16	15	15	13
runs-deen-030k/011-deen-.5k.5k-r1	30,000	2,119,390	70.6463	63.0000	513	0.4203	500	7	493	54087	32167	15136	9362	4947	2417	1403	358	39	17	16	13
runs-deen-030k/022-deen-01k01k-r1	30,000	1,749,715	58.3238	52.0000	513	0.4442	1,000	18	982	47167	17510	5808	3659	1711	897	527	261	70	22	16	2
runs-deen-030k/033-deen-02k02k-r1	30,000	1,472,822	49.0941	44.0000	513	0.4759	2,000	31	1,969	47172	6702	2341	1399	648	332	215	112	47	17	10	1
runs-deen-030k/044-deen-04k04k-r1	30,000	1,255,305	41.8435	37.0000	473	0.5126	4,000	70	3,930	47172	3226	912	521	242	130	82	45	21	8	4	1
runs-deen-030k/055-deen-08k08k-r1	30,000	1,088,556	36.2852	32.0000	429	0.5566	8,000	167	7,833	47172	1324	342	200	91	48	31	18	9	3	2	1
runs-deen-030k/066-deen-16k16k-r1	30,000	970,711	32.3570	29.0000	388	0.6136	16,000	505	15,495	47172	526	140	78	35	18	11	7	4	2	1	1
runs-deen-030k/077-deen-32k32k-r1	30,000	917,966	30.5989	27.0000	355	0.6605	24,474	1,170	23,304	47172	321	83	45	20	9	6	4	2	1	1	1
runs-deen-030k/088-deen-48k48k-r1	NA
runs-deen-030k/099-deen-64k64k-r1	NA

runs-deen-500k/000-deen-chars-r1	500,000	77,623,117	155.2462	136.0000	513	0.7776	174	3	171	11632465	10038121	2856472	924024	154176	6963	588	314	255	224	223	217
runs-deen-500k/011-deen-.5k.5k-r1	500,000	35,574,722	71.1494	63.0000	513	0.4409	500	7	493	926844	550356	283585	162852	82891	40008	19087	834	379	268	229	217
runs-deen-500k/022-deen-01k01k-r1	500,000	29,271,876	58.5438	51.0000	513	0.4504	1,000	16	984	723884	287733	104386	64690	29265	15135	8679	1833	590	288	243	2
runs-deen-500k/033-deen-02k02k-r1	500,000	24,810,276	49.6206	44.0000	513	0.4763	2,000	23	1,977	723964	107430	43108	24133	10974	5445	3487	1785	654	277	139	1
runs-deen-500k/044-deen-04k04k-r1	500,000	21,223,825	42.4477	37.0000	513	0.5063	4,000	38	3,962	724008	52696	15882	9244	4039	2171	1363	764	362	130	38	1
runs-deen-500k/055-deen-08k08k-r1	500,000	18,398,429	36.7969	32.0000	513	0.5398	8,000	60	7,940	724042	20475	5929	3463	1574	842	528	320	144	38	13	1
runs-deen-500k/066-deen-16k16k-r1	500,000	16,370,717	32.7414	29.0000	513	0.5840	16,000	139	15,861	724083	8505	2353	1344	625	319	192	121	52	14	5	1
runs-deen-500k/077-deen-32k32k-r1	500,000	15,007,563	30.0151	26.0000	513	0.6422	32,000	378	31,622	724113	3793	1006	555	239	112	65	45	21	6	3	1
runs-deen-500k/088-deen-48k48k-r1	500,000	14,447,743	28.8955	25.0000	513	0.6801	48,000	732	47,268	724128	2452	617	334	132	60	35	25	12	4	2	1
runs-deen-500k/099-deen-64k64k-r1	500,000	14,128,081	28.2562	25.0000	513	0.7076	64,000	1,197	62,803	724144	1833	435	227	86	38	22	16	8	3	1	1

runs-deen-all/000-deen-chars-r1	4,511,868	700,288,711	155.2104	136.0000	513	0.7334	130	3	127	104804667	90577458	32970542	15893051	2371802	305890	20002	9948	8510	6932	6771	6535
runs-deen-all/011-deen-.5k.5k-r1	4,511,868	312,013,149	69.1539	61.0000	513	0.4133	500	7	493	8783762	4818275	2442170	1368661	691995	353568	198768	63475	15122	9532	7606	6539
runs-deen-all/022-deen-01k01k-r1	4,511,868	260,882,911	57.8215	51.0000	513	0.4419	1,000	17	983	6513696	2757186	912129	551754	264026	135400	78902	46617	14752	8174	6539	1
runs-deen-all/033-deen-02k02k-r1	4,511,868	222,622,637	49.3416	43.0000	513	0.4734	2,000	23	1,977	6514440	969703	374367	217312	98182	48906	31190	20159	10014	3461	1092	1
runs-deen-all/044-deen-04k04k-r1	4,511,868	190,921,730	42.3155	37.0000	513	0.5041	4,000	36	3,964	6515085	483629	138984	82600	36569	19592	12283	7797	3440	1048	306	1
runs-deen-all/055-deen-08k08k-r1	4,511,868	165,821,777	36.7524	32.0000	513	0.5386	8,000	47	7,953	6515584	194042	51307	30705	14232	7597	4727	2800	1197	304	114	1
runs-deen-all/066-deen-16k16k-r1	4,511,868	147,732,282	32.7430	29.0000	513	0.5832	16,000	74	15,926	6516060	76178	21056	12072	5593	2847	1704	1055	431	97	25	1
runs-deen-all/077-deen-32k32k-r1	4,511,868	135,631,011	30.0609	26.0000	513	0.6414	32,000	189	31,811	6516523	33966	9045	4999	2129	993	579	384	156	32	11	1
runs-deen-all/088-deen-48k48k-r1	4,511,868	130,664,693	28.9602	25.0000	513	0.6781	48,000	337	47,663	6516754	22019	5528	2988	1179	529	304	211	87	20	7	1
runs-deen-all/099-deen-64k64k-r1	4,511,868	127,820,798	28.3299	25.0000	513	0.7041	64,000	524	63,476	6516925	16332	3919	2031	766	337	191	136	57	14	5	1

runs-ende-001m/000-ende-chars-r1	1,000,000	140,365,478	140.3655	123.0000	513	0.8136	175	3	172	24630083	13335093	6966613	1921612	123491	6815	983	474	380	340	329	326
