Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	193	,▁	1438900	3530	3732	0.865349	0.835144	0.849978
2	196	.▁	1010828	1940	1933	0.962395	0.948066	0.955177
3	209	die▁	688973	1220	1294	0.729647	0.698833	0.713908
4	203	der▁	662776	1139	1136	0.698834	0.690265	0.694523
5	211	und▁	643982	1012	1003	0.864943	0.881613	0.873199
6	226	in▁	345754	821	804	0.687928	0.686502	0.687214
7	242	zu▁	256254	594	598	0.600932	0.601053	0.600992
8	214	den▁	238827	481	493	0.601423	0.585913	0.593566
9	250	von▁	238518	539	544	0.593407	0.590876	0.592138
10	256	ist▁	204505	303	307	0.694444	0.681185	0.687751
11	257	für▁	194284	327	321	0.616833	0.64152	0.628934
12	261	mit▁	172675	338	291	0.604366	0.704321	0.650527
13	281	das▁	169289	357	351	0.598726	0.611292	0.604944
14	271	auf▁	161482	287	297	0.516477	0.501287	0.508768
15	276	des▁	155281	270	247	0.54661	0.5837	0.564547
16	259	eine▁	144049	302	294	0.604485	0.623899	0.614039
17	308	Sie▁	130574	125	146	0.745098	0.62605	0.680406
18	306	im▁	130421	257	226	0.525532	0.596491	0.558768
19	313	nicht▁	125227	229	238	0.787736	0.767606	0.77754
20	315	werden▁	120954	158	149	0.588435	0.637255	0.611873
21	219	es▁	118917	262	263	0.577253	0.57384	0.575541
22	317	dass▁	118083	469	435	0.685341	0.731458	0.707649
23	274	ein▁	115761	259	264	0.611814	0.612153	0.611984
24	327	sich▁	113417	258	216	0.440574	0.530151	0.481229
25	296	dem▁	113378	235	225	0.487209	0.514151	0.500318
26	328	Die▁	110441	205	215	0.641089	0.607981	0.624096
27	333	wir▁	104068	104	110	0.881226	0.838043	0.859092
28	339	auch▁	97109	87	69	0.511765	0.639706	0.568627
29	348	sind▁	90568	120	144	0.626087	0.526119	0.571766
30	349	(▁	90089	33	30	0.6875	0.758621	0.721311
31	350	)▁	89198	33	29	0.65625	0.75	0.7
32	363	wird▁	85797	171	164	0.60625	0.625	0.615482
