Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
1	192	,▁	6517693	3530	4251	0.895728	0.826	0.859452
2	5	▁	5094061	2211	2198	0.774266	0.779991	0.777118
3	195	.▁	4868373	2053	2019	0.950553	0.958239	0.954381
4	7	n	3497445	1741	1709	0.771874	0.778886	0.775364
5	202	der▁	3336295	1251	1194	0.688161	0.723123	0.705209
6	184	en▁	3250222	1360	1340	0.660943	0.670535	0.665704
7	208	die▁	3145914	1224	1212	0.715787	0.736915	0.726198
8	210	und▁	2993291	1053	1041	0.857093	0.881589	0.869169
9	187	t▁	2832346	1240	1208	0.649029	0.661588	0.655249
10	185	e▁	2564866	1072	1145	0.755908	0.70409	0.729079
11	10	t	1957688	859	847	0.719376	0.737396	0.728275
12	191	s▁	1759583	830	848	0.686687	0.682446	0.68456
13	183	er	1709325	770	667	0.601165	0.691929	0.643361
14	225	in▁	1705510	916	849	0.672523	0.720085	0.695492
15	25	k	1691721	748	726	0.726661	0.754274	0.74021
16	21	b	1656683	675	637	0.693272	0.733082	0.712621
17	213	den▁	1619526	712	604	0.574779	0.669813	0.618667
18	14	u	1617068	796	781	0.73802	0.757873	0.747815
19	190	er▁	1561567	1091	1088	0.738839	0.749714	0.744237
20	220	ten▁	1411563	733	723	0.648545	0.668269	0.658259
21	18	g	1317970	1019	1043	0.801623	0.784328	0.792881
22	13	d	1278205	616	645	0.801512	0.765272	0.782973
23	22	f	1256113	464	439	0.566582	0.611187	0.58804
24	240	zu▁	1248749	661	652	0.614475	0.627538	0.620937
25	8	i	1202758	636	601	0.783119	0.808389	0.795553
26	29	p	1199904	518	521	0.741432	0.738603	0.740015
27	6	e	1194718	611	576	0.722668	0.757739	0.739788
28	17	o	1171150	726	736	0.775733	0.773618	0.774674
29	228	te▁	1158211	1180	1232	0.766145	0.737603	0.751603
30	16	l	1152072	522	496	0.660972	0.682521	0.671574
31	231	be	1148878	548	509	0.591036	0.63476	0.612118
32	11	s	1144889	433	422	0.667577	0.696714	0.681834
33	186	ch	1131023	410	402	0.624758	0.638329	0.63147
34	249	von▁	1114880	558	554	0.590456	0.595471	0.592953
35	15	h	1114474	641	664	0.69359	0.6747	0.684014
36	197	st	1106181	489	471	0.679426	0.709691	0.694229
37	244	ver	1101290	582	546	0.65051	0.689637	0.669502
38	201	sch	1096419	494	435	0.606515	0.69009	0.645609
39	12	a	1077225	673	680	0.832092	0.818917	0.825452
40	218	es▁	1073656	449	490	0.614747	0.596088	0.605274
41	207	in	1066060	515	513	0.721445	0.724824	0.723131
42	214	ge	1047628	467	477	0.514742	0.49669	0.505555
43	222	ung▁	1023697	297	283	0.527995	0.559864	0.543463
44	41	F	1021177	431	432	0.806532	0.801609	0.804063
45	241	gen▁	996818	428	375	0.533697	0.60177	0.565693
46	38	P	971184	576	582	0.87836	0.868762	0.873535
47	9	r	968130	573	523	0.672043	0.741413	0.705026
48	255	ist▁	941877	307	307	0.675439	0.683333	0.679363
49	256	für▁	938564	345	328	0.61485	0.650282	0.63207
50	46	-	936284	566	510	0.576764	0.636311	0.605076
51	31	S	925379	576	565	0.85193	0.862472	0.857169
52	40	K	920214	550	546	0.789623	0.797441	0.793513
53	26	z	911802	399	428	0.710682	0.661644	0.685287
54	254	re	881670	486	473	0.756158	0.779449	0.767626
55	193	en	859783	327	314	0.597272	0.607185	0.602187
56	182	n▁	845023	485	466	0.660742	0.688159	0.674172
57	48	H	839743	444	442	0.797743	0.802632	0.80018
58	306	Be	832045	266	283	0.655903	0.612179	0.633287
59	298	le	830222	352	340	0.637336	0.651515	0.644347
60	248	g▁	809922	555	522	0.665254	0.711521	0.68761
61	260	mit▁	809530	338	298	0.63312	0.730072	0.678149
62	268	auf▁	796504	312	321	0.530142	0.50692	0.518271
63	36	B	793516	458	437	0.806004	0.843029	0.8241
64	19	c	786528	240	240	0.743056	0.755556	0.749253
65	23	w	785846	470	495	0.755471	0.712693	0.733459
66	278	des▁	782513	311	283	0.567729	0.620567	0.592973
67	45	R	771153	374	385	0.863188	0.830357	0.846454
68	281	das▁	768350	359	336	0.585185	0.623446	0.60371
69	322	ri	744349	274	301	0.748016	0.684307	0.714744
70	54	N	743595	432	396	0.797214	0.877436	0.835404
71	212	ti	730908	227	225	0.742123	0.744663	0.743391
72	302	di	723080	276	282	0.711333	0.699234	0.705232
73	49	T	719342	499	484	0.808353	0.83657	0.822219
74	320	Ge	710719	318	324	0.743007	0.73206	0.737493
75	211	al	698091	364	345	0.751623	0.790525	0.770584
76	265	ent	696530	274	283	0.701613	0.690915	0.696223
77	227	ar	688380	304	315	0.804816	0.776138	0.790217
78	34	D	683071	305	278	0.76478	0.827869	0.795075
79	258	eine▁	677677	307	317	0.669795	0.650177	0.65984
80	279	Ver	675946	220	227	0.633166	0.612195	0.622504
81	196	d▁	671782	406	413	0.736499	0.732274	0.734381
82	33	A	660020	254	275	0.79638	0.741246	0.767825
83	35	E	655786	154	159	0.801786	0.766892	0.783951
84	235	ra	654676	281	275	0.739869	0.755689	0.747696
85	216	zu	650027	269	231	0.476695	0.546205	0.509088
86	209	ein	644579	211	226	0.646907	0.608696	0.62722
87	58	C	637475	405	401	0.828847	0.816004	0.822376
88	295	dem▁	635209	329	293	0.516496	0.578947	0.545942
89	236	ss	633929	257	213	0.568543	0.709239	0.631145
90	283	gen	616814	226	184	0.463141	0.57485	0.512985
91	199	an	610002	396	376	0.723426	0.763528	0.742936
92	267	ge▁	603851	231	217	0.555818	0.598985	0.576594
93	304	im▁	600106	280	256	0.629776	0.68661	0.656966
94	273	ein▁	597411	306	283	0.64098	0.693694	0.666296
95	253	it	596548	244	247	0.732576	0.731651	0.732113
96	262	la	594221	220	210	0.61658	0.640351	0.628241
97	963	me	584433	238	217	0.654874	0.718213	0.685083
98	272	at	583803	377	371	0.717692	0.738133	0.727769
